"DATE","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","PERSONS.INJURED","PERSONS.KILLED","VEHICLE.1.TYPE","VEHICLE.2.TYPE","VEHICLE.1.FACTOR","VEHICLE.2.FACTOR","VEHICLE.3.FACTOR","VEHICLE.4.FACTOR","VEHICLE.5.FACTOR","day","month","hour","Classify"
2015-03-01,"BROOKLYN",11226,40.6521704,-73.9614062,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PAVEMENT SLIPPERY","UNSPECIFIED","","","","Sun","Mar",0,"SAFE"
2015-03-01,"BRONX",10452,40.8451422,-73.9110407,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","OTHER VEHICULAR","OTHER VEHICULAR","","","","Sun","Mar",0,"SAFE"
2015-03-01,"MANHATTAN",10027,40.8142999,-73.9530753,1,0,"TAXI","","UNSPECIFIED","","","","","Sun","Mar",0,"INJURED"
2015-03-01,"QUEENS",11417,40.6803149,-73.842019,1,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",0,"INJURED"
2015-03-01,"MANHATTAN",10010,40.7383125,-73.9877418,0,0,"TAXI","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",0,"SAFE"
2015-03-01,"BRONX",10466,40.8924774,-73.8544923,1,0,"UNKNOWN","","UNSPECIFIED","","","","","Sun","Mar",0,"INJURED"
2015-03-01,"MANHATTAN",10019,40.7661449,-73.9972347,0,0,"PASSENGER VEHICLE","UNKNOWN","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",0,"SAFE"
2015-03-01,"BROOKLYN",11204,40.615693,-73.9936499,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",0,"SAFE"
2015-03-01,"BROOKLYN",11213,40.6728262,-73.9390758,0,0,"PASSENGER VEHICLE","UNKNOWN","FATIGUED/DROWSY","UNSPECIFIED","","","","Sun","Mar",0,"SAFE"
2015-03-01,"MANHATTAN",10011,40.7373607,-73.996839,0,0,"TAXI","SPORT UTILITY/STATION WAGON","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",0,"SAFE"
2015-03-01,"BRONX",10463,40.8726198,-73.9046763,0,0,"PASSENGER VEHICLE","BUS","UNSPECIFIED","UNSPECIFIED","","","","Sun","Mar",10,"SAFE"
